_id,Date,PracticeCode,HB,HSCP,Sex,SexQF,AllAges,AllAgesQF,Ages0to4,Ages0To4QF,Ages5to14,Ages5To14QF,Ages15to24,Ages15To24QF,Ages25to44,Ages25To44QF,Ages45to64,Ages45To64QF,Ages65to74,Ages65To74QF,Ages75to84,Ages75To84QF,Ages85plus,Ages85PlusQF
2243,20230701,78306,S08000024,S37000030,Female,"",3804,"",143,"",338,"",386,"",960,"",1133,"",426,"",326,"",92,""
2244,20230701,78306,S08000024,S37000030,All,d,7699,"",294,"",733,"",800,"",1972,"",2292,"",841,"",612,"",155,""
2245,20230701,78311,S08000024,S37000030,Male,"",4427,"",189,"",507,"",524,"",1410,"",1220,"",326,"",207,"",44,""
2246,20230701,78311,S08000024,S37000030,Female,"",4357,"",185,"",510,"",500,"",1260,"",1219,"",341,"",273,"",69,""
2247,20230701,78311,S08000024,S37000030,All,d,8784,"",374,"",1017,"",1024,"",2670,"",2439,"",667,"",480,"",113,""
2248,20230701,78330,S08000024,S37000030,Male,"",3641,"",152,"",421,"",454,"",1031,"",1018,"",318,"",198,"",49,""
2249,20230701,78330,S08000024,S37000030,Female,"",3707,"",175,"",436,"",387,"",989,"",1027,"",382,"",237,"",74,""
2250,20230701,78330,S08000024,S37000030,All,d,7348,"",327,"",857,"",841,"",2020,"",2045,"",700,"",435,"",123,""
2251,20230701,78344,S08000024,S37000030,Male,"",3261,"",165,"",479,"",411,"",780,"",965,"",262,"",161,"",38,""
2252,20230701,78344,S08000024,S37000030,Female,"",3434,"",192,"",442,"",437,"",881,"",952,"",289,"",173,"",68,""
2253,20230701,78344,S08000024,S37000030,All,d,6695,"",357,"",921,"",848,"",1661,"",1917,"",551,"",334,"",106,""
2254,20230701,78359,S08000024,S37000030,Male,"",5256,"",352,"",858,"",466,"",1631,"",1296,"",403,"",205,"",45,""
2255,20230701,78359,S08000024,S37000030,Female,"",5438,"",380,"",851,"",446,"",1783,"",1238,"",403,"",271,"",66,""
2256,20230701,78359,S08000024,S37000030,All,d,10694,"",732,"",1709,"",912,"",3414,"",2534,"",806,"",476,"",111,""
2257,20230701,78397,S08000024,S37000030,Male,"",6494,"",297,"",827,"",767,"",2048,"",1804,"",472,"",235,"",44,""
2258,20230701,78397,S08000024,S37000030,Female,"",6262,"",232,"",774,"",767,"",1955,"",1682,"",518,"",271,"",63,""
2259,20230701,78397,S08000024,S37000030,All,d,12756,"",529,"",1601,"",1534,"",4003,"",3486,"",990,"",506,"",107,""
2260,20230701,78414,S08000024,S37000030,Male,"",4162,"",190,"",476,"",454,"",1103,"",1232,"",411,"",236,"",60,""
2261,20230701,78414,S08000024,S37000030,Female,"",4108,"",152,"",444,"",427,"",1109,"",1145,"",434,"",312,"",85,""
2262,20230701,78414,S08000024,S37000030,All,d,8270,"",342,"",920,"",881,"",2212,"",2377,"",845,"",548,"",145,""
2263,20230701,80005,S08000015,S37000020,Male,"",4195,"",164,"",396,"",402,"",1049,"",1280,"",542,"",288,"",74,""
2264,20230701,80005,S08000015,S37000020,Female,"",4382,"",142,"",382,"",414,"",1000,"",1341,"",603,"",395,"",105,""
2265,20230701,80005,S08000015,S37000020,All,d,8577,"",306,"",778,"",816,"",2049,"",2621,"",1145,"",683,"",179,""
2266,20230701,80010,S08000015,S37000020,Male,"",2065,"",92,"",224,"",239,"",495,"",609,"",238,"",146,"",22,""
2267,20230701,80010,S08000015,S37000020,Female,"",2246,"",98,"",242,"",241,"",536,"",587,"",289,"",194,"",59,""
2268,20230701,80010,S08000015,S37000020,All,d,4311,"",190,"",466,"",480,"",1031,"",1196,"",527,"",340,"",81,""
2269,20230701,80058,S08000015,S37000027,Male,"",3893,"",131,"",390,"",445,"",1015,"",1097,"",496,"",248,"",71,""
2270,20230701,80058,S08000015,S37000027,Female,"",3939,"",118,"",371,"",424,"",919,"",1183,"",522,"",301,"",101,""
2271,20230701,80058,S08000015,S37000027,All,d,7832,"",249,"",761,"",869,"",1934,"",2280,"",1018,"",549,"",172,""
2272,20230701,80062,S08000015,S37000027,Male,"",2547,"",89,"",236,"",265,"",571,"",752,"",333,"",242,"",59,""
2273,20230701,80062,S08000015,S37000027,Female,"",2659,"",66,"",209,"",235,"",514,"",829,"",356,"",310,"",140,""
2274,20230701,80062,S08000015,S37000027,All,d,5206,"",155,"",445,"",500,"",1085,"",1581,"",689,"",552,"",199,""
2275,20230701,80077,S08000015,S37000027,Male,"",1106,"",41,"",88,"",107,"",326,"",317,"",100,"",89,"",38,""
2276,20230701,80077,S08000015,S37000027,Female,"",1147,"",47,"",91,"",121,"",270,"",301,"",142,"",118,"",57,""
2277,20230701,80077,S08000015,S37000027,All,d,2253,"",88,"",179,"",228,"",596,"",618,"",242,"",207,"",95,""
2278,20230701,80081,S08000015,S37000027,Male,"",4873,"",192,"",495,"",520,"",1386,"",1370,"",498,"",310,"",102,""
2279,20230701,80081,S08000015,S37000027,Female,"",4922,"",180,"",468,"",514,"",1287,"",1355,"",573,"",389,"",156,""
2280,20230701,80081,S08000015,S37000027,All,d,9795,"",372,"",963,"",1034,"",2673,"",2725,"",1071,"",699,"",258,""
2281,20230701,80096,S08000015,S37000027,Male,"",4023,"",109,"",334,"",445,"",859,"",1152,"",581,"",432,"",111,""
2282,20230701,80096,S08000015,S37000027,Female,"",4287,"",98,"",367,"",387,"",767,"",1245,"",685,"",521,"",217,""
2283,20230701,80096,S08000015,S37000027,All,d,8310,"",207,"",701,"",832,"",1626,"",2397,"",1266,"",953,"",328,""
2284,20230701,80109,S08000015,S37000027,Male,"",3821,"",115,"",375,"",348,"",950,"",1094,"",527,"",332,"",80,""
2285,20230701,80109,S08000015,S37000027,Female,"",3892,"",108,"",338,"",386,"",898,"",1046,"",558,"",398,"",160,""
